,HASC_1,Humidity,date,Precipitation,Temper_T2MMEAN
0,CN.AH,0.003783512,20200101,0.0025318385516744,277.800466325548
1,CN.BJ,0.001235019,20200101,0.0,265.95677302433893
2,CN.CQ,0.00552748,20200101,0.0004448305942186,279.02538929814875
3,CN.FJ,0.006917253,20200101,0.000261986734749,284.95347069049706
4,CN.GS,0.001754694,20200101,7.038467831885387e-05,266.51025691176903
5,CN.GD,0.009146118,20200101,0.0018743313652341,290.1927235277393
6,CN.GX,0.009325838,20200101,0.0043934105783627,288.8816471689755
7,CN.GZ,0.007686801,20200101,0.0166787098429792,284.06270462427386
8,CN.HA,0.013804903,20200101,0.0020872306717768,295.3135274251302
9,CN.HB,0.001450592,20200101,0.0003258850022769,266.97289162815207
10,CN.HL,0.000482704,20200101,0.0044054613421978,250.21843506645237
11,CN.HE,0.002510226,20200101,1.6620362076284496e-05,273.92139908030066
12,CN.HU,0.003949994,20200101,0.0024383798426871,276.0941943214053
13,CN.HN,0.006312401,20200101,0.0025671422377513,282.0482338706216
14,CN.JS,0.003617769,20200101,0.0028528895819605,276.976320706881
15,CN.JX,0.006505456,20200101,0.0014668261559308,283.8979479292749
16,CN.JL,0.000704997,20200101,0.0015114295558325,255.46897181758172
17,CN.LN,0.001222854,20200101,0.0002772728810636,264.1564485526379
18,CN.NM,0.000964568,20200101,0.0020906222643256,258.2403679901699
19,CN.NX,0.002514076,20200101,0.0004040055559495,268.7678824032054
20,CN.QH,0.001008828,20200101,0.000110544114624,259.7888467440041
21,CN.SA,0.00299753,20200101,9.019646298959328e-05,270.84526602427167
22,CN.SD,0.00228898,20200101,0.0003185232648513,274.1430866241455
23,CN.SH,0.004776561,20200101,0.0014361962349669,280.7848266601562
24,CN.SX,0.002092345,20200101,1.3415924364303093e-05,269.2413688865868
25,CN.SC,0.003586039,20200101,0.0007833889065284,272.354443359375
26,CN.TJ,0.001293594,20200101,0.0001004989711142,269.1821954900568
27,CN.XJ,0.001155805,20200101,7.562451817930566e-05,263.5077783976677
28,CN.XZ,0.001391884,20200101,0.0100260849923619,258.00655074701075
29,CN.YN,0.008030431,20200101,0.0266927476679843,283.9078565325056
30,CN.ZJ,0.005290083,20200101,0.0009135328415279,281.2566132127193
31,CN.AH,0.0051175681971168,20200103,0.003355460199544,279.9398464626736
32,CN.BJ,0.0018184346666273,20200103,0.0015434584571309,270.10086763822113
33,CN.CQ,0.0054824509475704,20200103,0.0077753635310231,279.7958161727242
34,CN.FJ,0.0088734974249683,20200103,0.000190734084614,287.74302410257275
